i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
22,4,5,2,2,2,4,12,24,16,0.24971485137939453,0.00013113021850585938,0.0006699562072753906
22,5,5,2,2,2,5,15,30,32,0.4201531410217285,0.00018334388732910156,0.0019676685333251953
22,6,5,2,2,2,6,18,36,64,0.509183406829834,0.00019216537475585938,0.003932476043701172
23,3,5,2,2,2,3,7,7,1,0.266157865524292,0.000102996826171875,9.202957153320312e-05
23,4,5,2,2,2,4,9,10,1,0.3165168762207031,9.179115295410156e-05,8.559226989746094e-05
23,5,5,2,2,2,5,11,14,1,0.40905141830444336,0.0002071857452392578,0.00025081634521484375
23,6,5,2,2,2,6,13,16,1,0.49571895599365234,0.0001938343048095703,0.00016546249389648438
24,3,5,2,2,2,3,7,7,1,0.3465108871459961,0.0001609325408935547,0.00015115737915039062
24,4,5,2,2,2,4,9,9,1,0.4128763675689697,0.00014638900756835938,0.00013256072998046875
24,5,5,2,2,2,5,11,12,1,0.4314582347869873,0.00014448165893554688,0.0001404285430908203
24,6,5,2,2,2,6,14,17,1,0.7737197875976562,0.0001888275146484375,0.00020837783813476562
25,3,5,2,2,2,3,12,23,8,0.29044246673583984,0.00014495849609375,0.0005524158477783203
25,4,5,2,2,2,4,15,29,20,0.3644115924835205,0.00015878677368164062,0.0007252693176269531
25,5,5,2,2,2,5,18,52,36,0.45789289474487305,0.0002505779266357422,0.006861686706542969
25,6,5,2,2,2,6,21,55,64,0.5275783538818359,0.0002384185791015625,0.009548425674438477
26,3,5,2,2,2,3,6,3,1,0.20524001121520996,0.00010943412780761719,8.535385131835938e-05
26,4,5,2,2,2,4,9,5,0,0.2870774269104004,0.00018262863159179688,0.00010728836059570312
26,5,5,2,2,2,5,10,5,1,0.30936765670776367,0.00013780593872070312,0.00011372566223144531
26,6,5,2,2,2,6,13,7,0,0.334395170211792,0.00020313262939453125,7.963180541992188e-05
27,3,5,2,2,2,3,9,0,0,0.2171776294708252,9.608268737792969e-05,5.435943603515625e-05
27,4,5,2,2,2,4,12,0,0,0.30687403678894043,0.00012183189392089844,6.103515625e-05
27,5,5,2,2,2,5,18,0,0,0.47301697731018066,0.00015211105346679688,5.0067901611328125e-05
27,6,5,2,2,2,6,21,0,0,0.5807352066040039,0.00017952919006347656,6.747245788574219e-05
28,3,5,2,2,2,3,9,12,2,0.37124204635620117,9.989738464355469e-05,0.00017261505126953125
28,4,5,2,2,2,4,15,22,2,0.3954496383666992,9.083747863769531e-05,0.000209808349609375
28,5,5,2,2,2,5,18,26,2,0.49198055267333984,0.0001385211944580078,0.00028252601623535156
28,6,5,2,2,2,6,21,28,2,0.49831151962280273,0.0001850128173828125,0.00043654441833496094
29,3,5,2,2,2,3,12,10,2,0.41527628898620605,7.605552673339844e-05,8.344650268554688e-05
29,4,5,2,2,2,4,15,16,2,0.559938907623291,0.00012493133544921875,0.00020551681518554688
29,5,5,2,2,2,5,15,10,2,0.6040709018707275,0.0001308917999267578,0.00015044212341308594
29,6,5,2,2,2,6,18,12,2,0.5490343570709229,0.0001285076141357422,0.0001823902130126953
30,3,5,2,2,2,3,6,0,0,0.16421222686767578,9.775161743164062e-05,5.793571472167969e-05
30,4,5,2,2,2,4,8,0,0,0.20811200141906738,0.00010848045349121094,6.532669067382812e-05
30,5,5,2,2,2,5,10,0,0,0.32147789001464844,0.00011563301086425781,5.221366882324219e-05
30,6,5,2,2,2,6,12,0,0,0.3717942237854004,0.0002200603485107422,8.106231689453125e-05
