i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
4,7,5,2,2,2,8,17,12,1,0.8285024166107178,0.0002865791320800781,0.00016641616821289062
4,7,5,2,2,2,9,19,27,1,0.8942649364471436,0.0003485679626464844,0.00034332275390625
4,7,5,2,2,2,10,20,28,1,1.929288625717163,0.00034809112548828125,0.0003197193145751953
4,8,5,2,2,2,8,17,10,1,1.1868317127227783,0.0003325939178466797,0.00016832351684570312
4,8,5,2,2,2,9,19,17,1,1.138718843460083,0.00038909912109375,0.0002892017364501953
4,8,5,2,2,2,10,20,20,1,1.1806797981262207,0.0005037784576416016,0.0004260540008544922
4,8,5,2,2,2,11,22,27,1,1.2982025146484375,0.0005588531494140625,0.0007650852203369141
4,8,5,2,2,2,12,24,38,1,1.4734611511230469,0.0005910396575927734,0.0009341239929199219
5,7,5,2,2,2,7,16,18,2,0.6315016746520996,0.000274658203125,0.0002799034118652344
5,7,5,2,2,2,8,18,30,2,0.6350994110107422,0.0004916191101074219,0.0009737014770507812
5,7,5,2,2,2,9,20,46,2,0.791496992111206,0.0005247592926025391,0.0021772384643554688
5,7,5,2,2,2,10,22,54,2,0.880284309387207,0.0004925727844238281,0.0033736228942871094
5,8,5,2,2,2,8,18,22,2,0.7211487293243408,0.000385284423828125,0.00045013427734375
5,8,5,2,2,2,9,20,30,2,0.8581182956695557,0.00041365623474121094,0.0007829666137695312
5,8,5,2,2,2,10,22,36,2,0.8798558712005615,0.00040531158447265625,0.001171112060546875
5,8,5,2,2,2,11,24,54,2,0.9516134262084961,0.0006923675537109375,0.004041910171508789
5,8,5,2,2,2,12,26,64,2,1.0250062942504883,0.0005328655242919922,0.005463600158691406
6,7,5,2,2,2,7,33,92,2187,0.8687167167663574,0.0002963542938232422,0.1775376796722412
6,7,5,2,2,2,8,39,198,2187,1.0636231899261475,0.0005555152893066406,0.8050861358642578
6,7,5,2,2,2,9,40,210,2188,1.0905401706695557,0.0003943443298339844,0.893366813659668
6,7,5,2,2,2,10,46,262,2188,1.2380523681640625,0.0004432201385498047,2.1502397060394287
6,8,5,2,2,2,8,37,102,6561,0.9913744926452637,0.00039768218994140625,0.1663806438446045
6,8,5,2,2,2,9,43,226,6561,1.2006831169128418,0.00037026405334472656,3.073753595352173
6,8,5,2,2,2,10,49,260,6561,1.315460443496704,0.0004210472106933594,6.894410610198975
6,8,5,2,2,2,11,55,330,6561,1.5656507015228271,0.0005114078521728516,14.540611505508423
6,8,5,2,2,2,12,61,469,6561,1.8005454540252686,0.0004737377166748047,37.17405033111572
7,7,5,2,2,2,7,21,28,8,0.7811801433563232,0.0003235340118408203,0.0012664794921875
7,7,5,2,2,2,8,25,40,4,1.0091149806976318,0.00028061866760253906,0.002553224563598633
7,7,5,2,2,2,9,29,68,4,1.189645767211914,0.0003528594970703125,0.007493734359741211
7,7,5,2,2,2,10,33,96,2,1.3100063800811768,0.0003533363342285156,0.01226043701171875
7,8,5,2,2,2,8,27,28,16,1.0782036781311035,0.0002853870391845703,0.0005323886871337891
7,8,5,2,2,2,9,31,38,8,1.2490200996398926,0.00037097930908203125,0.001870870590209961
7,8,5,2,2,2,10,32,56,8,1.3222672939300537,0.0003376007080078125,0.003741025924682617
7,8,5,2,2,2,11,36,84,4,1.4337108135223389,0.0003986358642578125,0.012739896774291992
7,8,5,2,2,2,12,40,96,4,1.5983738899230957,0.0004227161407470703,0.02444911003112793
8,7,5,2,2,2,7,14,7,1,0.565845251083374,0.0002453327178955078,0.00012683868408203125
8,7,5,2,2,2,8,16,12,1,0.6560897827148438,0.00027942657470703125,0.0001647472381591797
8,7,5,2,2,2,9,18,19,1,0.6509993076324463,0.00031757354736328125,0.0003199577331542969
8,7,5,2,2,2,10,20,32,1,0.6247696876525879,0.0003669261932373047,0.0007700920104980469
8,8,5,2,2,2,8,17,10,1,0.6354498863220215,0.00037980079650878906,0.00020933151245117188
8,8,5,2,2,2,9,19,15,1,0.6049330234527588,0.0003268718719482422,0.00019598007202148438
8,8,5,2,2,2,10,21,24,1,0.6683809757232666,0.00034332275390625,0.0002770423889160156
8,8,5,2,2,2,11,23,37,1,0.7534968852996826,0.00037789344787597656,0.0005173683166503906
8,8,5,2,2,2,12,25,50,1,0.7242703437805176,0.00042176246643066406,0.0010166168212890625
9,7,5,2,2,2,7,24,18,8,0.6811649799346924,0.0002448558807373047,0.00058746337890625
9,7,5,2,2,2,8,28,24,8,0.8523366451263428,0.00045990943908691406,0.0019812583923339844
9,7,5,2,2,2,9,32,30,8,1.097337245941162,0.0003726482391357422,0.0023293495178222656
9,7,5,2,2,2,10,36,48,4,1.0493583679199219,0.0003731250762939453,0.009112834930419922
9,8,5,2,2,2,8,27,32,16,1.002640962600708,0.00034809112548828125,0.0015921592712402344
9,8,5,2,2,2,9,31,38,8,1.1579599380493164,0.0003876686096191406,0.0020334720611572266
9,8,5,2,2,2,10,35,60,4,1.3810136318206787,0.0005483627319335938,0.00823068618774414
9,8,5,2,2,2,11,39,78,2,1.433396816253662,0.00039768218994140625,0.010591983795166016
