i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
6,7,7,2,2,2,7,2,3,0.24142944600043847,,111.0,
6,7,7,2,2,2,7,3,1,0.5641722469999877,,,2108.0
6,7,7,2,2,2,7,3,2,1.675471219999963,,,2108.0
6,7,7,2,2,2,7,3,3,1.650352214999657,,,2108.0
6,7,8,2,2,2,7,1,1,1.0674669899999571,42.0,,
6,7,8,2,2,2,7,1,2,0.5122210049994464,42.0,,
6,7,8,2,2,2,7,1,3,0.5333038359995044,42.0,,
6,7,8,2,2,2,7,2,1,0.0007116090000636177,,184.0,
6,7,8,2,2,2,7,2,2,0.23413086800064775,,184.0,
6,7,8,2,2,2,7,2,3,0.2200307140001314,,184.0,
6,7,8,2,2,2,7,3,1,1.3224778559997503,,,16384.0
6,7,8,2,2,2,7,3,2,2.490549643999657,,,16384.0
6,7,8,2,2,2,7,3,3,2.0802881050003634,,,16384.0
6,7,9,2,2,2,7,1,1,0.6975909309994677,21.0,,
6,7,9,2,2,2,7,1,2,0.3992888860002495,21.0,,
6,7,9,2,2,2,7,1,3,0.38688173499940604,21.0,,
6,7,9,2,2,2,7,2,1,0.0003807860002780217,,23.0,
6,7,9,2,2,2,7,2,2,0.23235003399986454,,23.0,
6,7,9,2,2,2,7,2,3,0.21974623000005522,,23.0,
6,7,9,2,2,2,7,3,1,0.00021145000027900096,,,1.0
6,7,9,2,2,2,7,3,2,1.2035749199994825,,,1.0
6,7,9,2,2,2,7,3,3,1.1867505270001857,,,1.0
6,7,10,2,2,2,7,1,1,1.0021711639992645,24.0,,
6,7,10,2,2,2,7,1,2,0.5468185830004586,24.0,,
6,7,10,2,2,2,7,1,3,0.5610281529998247,24.0,,
6,7,10,2,2,2,7,2,1,0.0005897190003452124,,54.0,
6,7,10,2,2,2,7,2,2,0.24340772600044147,,54.0,
6,7,10,2,2,2,7,2,3,0.2646115429997735,,54.0,
6,7,10,2,2,2,7,3,1,0.00521802699950058,,,128.0
6,7,10,2,2,2,7,3,2,1.2939362490005806,,,128.0
6,7,10,2,2,2,7,3,3,1.1886561809997147,,,128.0
7,7,5,2,2,2,7,1,1,0.3763389580008152,15.0,,
7,7,5,2,2,2,7,1,2,0.29913208299967664,15.0,,
7,7,5,2,2,2,7,1,3,0.31159221999951114,15.0,,
7,7,5,2,2,2,7,2,1,0.00035412800025369506,,15.0,
7,7,5,2,2,2,7,2,2,0.2071255620003285,,15.0,
7,7,5,2,2,2,7,2,3,0.20012130199938838,,15.0,
7,7,5,2,2,2,7,3,1,0.00018629899932420813,,,1.0
7,7,5,2,2,2,7,3,2,1.5782344440003726,,,1.0
7,7,5,2,2,2,7,3,3,1.2326205720000871,,,1.0
7,7,6,2,2,2,7,1,1,1.1977123800006666,54.0,,
7,7,6,2,2,2,7,1,2,0.4914751329997671,54.0,,
7,7,6,2,2,2,7,1,3,0.49877523699979065,54.0,,
7,7,6,2,2,2,7,2,1,0.0006681220002064947,,148.0,
7,7,6,2,2,2,7,2,2,0.21893503299997974,,148.0,
7,7,6,2,2,2,7,2,3,0.22031574100037687,,148.0,
7,7,6,2,2,2,7,3,1,0.34675736200006213,,,512.0
7,7,6,2,2,2,7,3,2,1.3298759009994683,,,512.0
7,7,6,2,2,2,7,3,3,1.335815017000641,,,512.0
7,7,7,2,2,2,7,1,1,0.6326828119999846,21.0,,
7,7,7,2,2,2,7,1,2,0.33693655599927297,21.0,,
7,7,7,2,2,2,7,1,3,0.325605476000419,21.0,,
7,7,7,2,2,2,7,2,1,0.00036709400046675,,21.0,
7,7,7,2,2,2,7,2,2,0.2206959619998088,,21.0,
7,7,7,2,2,2,7,2,3,0.22634490200016444,,21.0,
7,7,7,2,2,2,7,3,1,0.0002068840003630612,,,1.0
7,7,7,2,2,2,7,3,2,1.2764027969997187,,,1.0
7,7,7,2,2,2,7,3,3,1.2734434710000642,,,1.0
7,7,8,2,2,2,7,1,1,0.8323219829999289,30.0,,
7,7,8,2,2,2,7,1,2,0.581177889999708,30.0,,
7,7,8,2,2,2,7,1,3,0.4886373090002962,30.0,,
7,7,8,2,2,2,7,2,1,0.0006234869997570058,,76.0,
7,7,8,2,2,2,7,2,2,0.24650210200070433,,76.0,
7,7,8,2,2,2,7,2,3,0.2292873509995843,,76.0,
7,7,8,2,2,2,7,3,1,0.008185669999875245,,,128.0
7,7,8,2,2,2,7,3,2,1.6655113540000457,,,128.0
7,7,8,2,2,2,7,3,3,1.2013107550001223,,,128.0
7,7,9,2,2,2,7,1,1,1.171531861999938,45.0,,
7,7,9,2,2,2,7,1,2,0.4913349729995389,45.0,,
7,7,9,2,2,2,7,1,3,0.4695615310001813,45.0,,
7,7,9,2,2,2,7,2,1,0.0005565159999605385,,153.0,
7,7,9,2,2,2,7,2,2,0.20907643900045514,,153.0,
7,7,9,2,2,2,7,2,3,0.22517207100008818,,153.0,
7,7,9,2,2,2,7,3,1,0.606678579999425,,,2187.0
7,7,9,2,2,2,7,3,2,1.4302986049997344,,,2187.0
7,7,9,2,2,2,7,3,3,1.4522921629995835,,,2187.0
7,7,10,2,2,2,7,1,1,1.3280492750000121,49.0,,
7,7,10,2,2,2,7,1,2,0.41916567899988877,49.0,,
7,7,10,2,2,2,7,1,3,0.42483209900001384,49.0,,
7,7,10,2,2,2,7,2,1,0.0005812170002172934,,105.0,
7,7,10,2,2,2,7,2,2,0.2323848709993399,,105.0,
7,7,10,2,2,2,7,2,3,0.21178298900031223,,105.0,
7,7,10,2,2,2,7,3,1,0.11504292500012525,,,416.0
7,7,10,2,2,2,7,3,2,1.200941996000438,,,416.0
7,7,10,2,2,2,7,3,3,1.254288396999982,,,416.0
8,7,5,2,2,2,7,1,1,0.4483647110000675,35.0,,
8,7,5,2,2,2,7,1,2,0.2755988069993691,35.0,,
8,7,5,2,2,2,7,1,3,0.2772335170002407,35.0,,
8,7,5,2,2,2,7,2,1,0.0004291279992685304,,98.0,
8,7,5,2,2,2,7,2,2,0.21673429099973873,,98.0,
8,7,5,2,2,2,7,2,3,0.2562775790001979,,98.0,
8,7,5,2,2,2,7,3,1,0.3447656319995076,,,6085.0
8,7,5,2,2,2,7,3,2,1.5971758940004293,,,6085.0
8,7,5,2,2,2,7,3,3,1.4243070479997186,,,6085.0
8,7,6,2,2,2,7,1,1,0.7152191850000236,39.0,,
8,7,6,2,2,2,7,1,2,0.3713691700004347,39.0,,
8,7,6,2,2,2,7,1,3,0.40229043000090314,39.0,,
8,7,6,2,2,2,7,2,1,0.0004918020003970014,,141.0,
8,7,6,2,2,2,7,2,2,0.20575935000033496,,141.0,
8,7,6,2,2,2,7,2,3,0.19618410800012498,,141.0,
8,7,6,2,2,2,7,3,1,0.2113114690000657,,,2187.0
8,7,6,2,2,2,7,3,2,1.23213796500022,,,2187.0
8,7,6,2,2,2,7,3,3,1.2718215469994902,,,2187.0
8,7,7,2,2,2,7,1,1,1.072617440000613,45.0,,
8,7,7,2,2,2,7,1,2,0.5474552229998153,45.0,,
8,7,7,2,2,2,7,1,3,0.5492347890003657,45.0,,
8,7,7,2,2,2,7,2,1,0.0004924759996356443,,111.0,
8,7,7,2,2,2,7,2,2,0.21340986599989265,,111.0,
