i_sample,n_cores,step,method,execution_time
8,24,2,1,0.0005439770175144076
8,24,2,2,0.23659710900392383
8,24,2,3,0.22980384400580078
8,24,3,1,0.00032329303212463856
8,24,3,2,1.4667219530092552
8,24,3,3,1.4534306708956137
9,2,1,1,0.7640342289814726
9,2,1,2,0.448807485983707
9,2,1,3,0.4340969050535932
9,2,2,1,0.000833963043987751
9,2,2,2,0.05712936003692448
9,2,2,3,0.056831254973076284
9,2,3,1,0.04657347104512155
9,2,3,2,0.33707384299486876
9,2,3,3,0.3653290399815887
9,4,1,1,0.5896223780000582
9,4,1,2,0.20508737908676267
9,4,1,3,0.20915916096419096
9,4,2,1,0.0008417309727519751
9,4,2,2,0.08057579689193517
9,4,2,3,0.07253589702304453
9,4,3,1,0.00036509695928543806
9,4,3,2,0.3540571390185505
9,4,3,3,0.33753624197561294
9,8,1,1,0.6260984250111505
9,8,1,2,0.16673333593644202
9,8,1,3,0.15534024499356747
9,8,2,1,0.0006171719869598746
9,8,2,2,0.10007622907869518
9,8,2,3,0.1083402190124616
9,8,3,1,0.030975302099250257
9,8,3,2,0.5535798679338768
9,8,3,3,0.561352172982879
9,12,1,1,0.812646142905578
9,12,1,2,0.4401987270684913
9,12,1,3,0.33791416697204113
9,12,2,1,0.000825962983071804
9,12,2,2,0.11598515696823597
9,12,2,3,0.11748494894709438
9,12,3,1,152.99468447209802
9,12,3,2,72.20612803299446
9,12,3,3,75.37874953099526
9,16,1,1,0.47322620905470103
9,16,1,2,0.4604200100293383
9,16,1,3,0.44970535300672054
9,16,2,1,0.0004956440534442663
9,16,2,2,0.34567009296733886
9,16,2,3,0.34276367095299065
9,16,3,1,0.00023844197858124971
9,16,3,2,2.2388887450797483
9,16,3,3,2.2508140259888023
9,20,1,1,0.47405591991264373
9,20,1,2,0.5367729460122064
9,20,1,3,0.5336810359731317
9,20,2,1,0.0005744990194216371
9,20,2,2,0.42177378095220774
9,20,2,3,0.4075509289978072
9,20,3,1,0.0002838119398802519
9,20,3,2,2.7594747849507257
9,20,3,3,2.7698585130274296
9,24,1,1,0.5488112509483472
9,24,1,2,0.596594006055966
9,24,1,3,0.6012930329889059
9,24,2,1,0.00045881804544478655
9,24,2,2,0.4985886220820248
9,24,2,3,0.4774218639358878
9,24,3,1,9.234098251909018e-05
9,24,3,2,0.46269764099270105
9,24,3,3,8.836190681904554e-05
10,2,1,1,0.6141660100547597
10,2,1,2,0.41518876201007515
10,2,1,3,0.46030559192877263
10,2,2,1,0.0005750360433012247
10,2,2,2,0.10092577489558607
10,2,2,3,0.09280007099732757
10,2,3,1,0.0004264210583642125
10,2,3,2,0.4946691270451993
10,2,3,3,0.4957686769776046
10,4,1,1,0.6477234520716593
10,4,1,2,0.29528974497225136
10,4,1,3,0.3033632789738476
10,4,2,1,0.0006910919910296798
10,4,2,2,0.12849449610803276
10,4,2,3,0.11787022498901933
10,4,3,1,0.0020033320179209113
10,4,3,2,0.7802465839777142
10,4,3,3,0.7879103680606931
10,8,1,1,0.48478858498856425
10,8,1,2,0.2608556569321081
10,8,1,3,0.25777005194686353
10,8,2,1,0.00045453396160155535
10,8,2,2,0.18833220493979752
10,8,2,3,0.1841253909515217
10,8,3,1,0.02574738091789186
10,8,3,2,1.285969335003756
10,8,3,3,1.3064976050518453
10,12,1,1,0.5888405590085313
10,12,1,2,0.32845107198227197
10,12,1,3,0.3926439880160615
10,12,2,1,0.00043212808668613434
10,12,2,2,0.3544432439375669
10,12,2,3,0.3538106830092147
10,12,3,1,0.0002133999951183796
10,12,3,2,2.1148605790222064
10,12,3,3,2.1092812709975988
10,16,1,1,0.38975023094099015
10,16,1,2,0.48236496397294104
10,16,1,3,0.48697824601549655
