,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
30,16,10,5,4,2,2,29,52,1024,0.2852213382720947,0.00015115737915039062,0.01887059211730957
31,16,10,5,3,2,2,30,60,1024,0.30825114250183105,0.0001685619354248047,0.06363439559936523
32,17,10,5,4,2,2,19,17,1,0.23752498626708984,0.00015163421630859375,8.7738037109375e-05
33,17,10,5,3,2,2,20,20,1,0.22128510475158691,0.00024580955505371094,0.00016307830810546875
34,18,10,5,4,2,2,19,17,1,0.23656940460205078,0.0001461505889892578,8.440017700195312e-05
35,18,10,5,3,2,2,20,20,1,0.24555063247680664,0.00018644332885742188,0.000202178955078125
36,19,10,5,4,2,2,19,17,1,0.250288724899292,0.00014972686767578125,8.416175842285156e-05
37,19,10,5,3,2,2,20,20,1,0.26694774627685547,0.00016951560974121094,0.00014901161193847656
38,20,10,5,4,2,2,19,17,1,0.24224615097045898,0.00017499923706054688,8.654594421386719e-05
39,20,10,5,3,2,2,20,20,1,0.2494649887084961,0.00015854835510253906,0.0001392364501953125
40,21,10,5,4,2,2,19,17,1,0.2598230838775635,0.0001456737518310547,8.511543273925781e-05
41,21,10,5,3,2,2,20,20,1,0.2620882987976074,0.00016021728515625,0.0001373291015625
42,22,10,5,4,2,2,19,17,1,0.293609619140625,0.00015211105346679688,9.441375732421875e-05
43,22,10,5,3,2,2,20,20,1,0.2967844009399414,0.00016164779663085938,0.0001404285430908203
44,23,10,5,4,2,2,38,68,1024,0.380948543548584,0.00017714500427246094,0.024598360061645508
45,23,10,5,3,2,2,40,80,1024,0.35996079444885254,0.00016427040100097656,0.1106257438659668
46,24,10,5,4,2,2,19,17,1,0.2543606758117676,0.00014925003051757812,8.678436279296875e-05
47,24,10,5,3,2,2,20,20,1,0.25929856300354004,0.00024390220642089844,0.0001628398895263672
48,25,10,5,4,2,2,19,17,1,0.2500193119049072,0.0001437664031982422,8.296966552734375e-05
49,25,10,5,3,2,2,20,20,1,0.2568378448486328,0.00018596649169921875,0.00014281272888183594
50,26,10,5,4,2,2,38,68,1024,0.27465200424194336,0.0002281665802001953,0.026098012924194336
51,26,10,5,3,2,2,40,80,1024,0.28147053718566895,0.00017023086547851562,0.11995983123779297
52,27,10,5,4,2,2,19,17,1,0.30735063552856445,0.0001480579376220703,8.511543273925781e-05
53,27,10,5,3,2,2,20,20,1,0.3165736198425293,0.00018978118896484375,0.00016379356384277344
54,28,10,5,4,2,2,19,17,1,0.31269288063049316,0.00012445449829101562,8.58306884765625e-05
55,28,10,5,3,2,2,20,20,1,0.2756369113922119,0.00013875961303710938,0.00013780593872070312
56,29,10,5,4,2,2,19,17,1,0.2223372459411621,0.0001366138458251953,8.678436279296875e-05
57,29,10,5,3,2,2,20,20,1,0.23546695709228516,0.00017976760864257812,0.00017142295837402344
58,30,10,5,4,2,2,19,17,1,0.2454826831817627,0.0002281665802001953,0.0001392364501953125
59,30,10,5,3,2,2,20,20,1,0.23945355415344238,0.00014495849609375,0.0001838207244873047
60,31,10,5,4,2,2,19,17,1,0.2370133399963379,0.000125885009765625,8.416175842285156e-05
61,31,10,5,3,2,2,20,20,1,0.26444387435913086,0.00014495849609375,0.00014543533325195312
62,32,10,5,4,2,2,19,17,1,0.23654866218566895,0.0001342296600341797,8.821487426757812e-05
63,32,10,5,3,2,2,20,20,1,0.24743247032165527,0.00014591217041015625,0.00014209747314453125
64,33,10,5,4,2,2,19,17,1,0.2392265796661377,0.0001285076141357422,8.416175842285156e-05
65,33,10,5,3,2,2,20,20,1,0.25554823875427246,0.00020933151245117188,0.0002148151397705078
66,34,10,5,4,2,2,19,17,1,0.36289501190185547,0.00012922286987304688,8.58306884765625e-05
67,34,10,5,3,2,2,20,20,1,0.3711683750152588,0.00013494491577148438,0.00016427040100097656
68,35,10,5,4,2,2,19,17,1,0.23326826095581055,0.00012803077697753906,8.487701416015625e-05
69,35,10,5,3,2,2,20,20,1,0.24819731712341309,0.0001437664031982422,0.00014019012451171875
70,36,10,5,4,2,2,19,17,1,0.24412298202514648,0.00018930435180664062,0.0001239776611328125
71,36,10,5,3,2,2,20,20,1,0.2720034122467041,0.00014257431030273438,0.00013780593872070312
72,37,10,5,4,2,2,29,52,1024,0.2816176414489746,0.00017905235290527344,0.022039175033569336
73,37,10,5,3,2,2,30,60,1024,0.3180825710296631,0.00014472007751464844,0.06119728088378906
74,38,10,5,4,2,2,48,86,1536,0.37619876861572266,0.0001342296600341797,0.050824642181396484
75,38,10,5,3,2,2,50,100,1024,0.37877559661865234,0.00015807151794433594,0.1698596477508545
76,39,10,5,4,2,2,38,68,1024,0.3364095687866211,0.0001392364501953125,0.023792505264282227
77,39,10,5,3,2,2,40,80,1024,0.3618655204772949,0.0003306865692138672,0.11874198913574219
78,40,10,5,4,2,2,19,17,1,0.2879319190979004,0.00012874603271484375,8.821487426757812e-05
79,40,10,5,3,2,2,20,20,1,0.2987954616546631,0.0002396106719970703,0.00023794174194335938
80,41,10,5,4,2,2,76,177,2304,0.48545098304748535,0.0001888275146484375,0.1450636386871338
81,41,10,5,3,2,2,80,210,1024,0.4835219383239746,0.00018644332885742188,0.7254579067230225
82,42,10,5,4,2,2,19,17,1,0.26964831352233887,0.00020575523376464844,0.0001366138458251953
83,42,10,5,3,2,2,20,20,1,0.30207347869873047,0.0001366138458251953,0.0001366138458251953
84,43,10,5,4,2,2,39,78,1536,0.3592982292175293,0.00013303756713867188,0.042864322662353516
85,43,10,5,3,2,2,40,90,1024,0.36373114585876465,0.0001537799835205078,0.13248014450073242
86,44,10,5,4,2,2,19,17,1,0.23679828643798828,0.00013208389282226562,9.012222290039062e-05
87,44,10,5,3,2,2,20,20,1,0.2722787857055664,0.000133514404296875,0.00013446807861328125
88,45,10,5,4,2,2,29,52,1024,0.2560763359069824,0.00013017654418945312,0.018874645233154297
89,45,10,5,3,2,2,30,60,1024,0.26761889457702637,0.00014138221740722656,0.058457374572753906
90,46,10,5,4,2,2,29,26,2,0.2962629795074463,0.00013208389282226562,0.0001609325408935547
91,46,10,5,3,2,2,30,30,1,0.2967255115509033,0.00014090538024902344,0.00024318695068359375
92,47,10,5,4,2,2,29,52,1024,0.28266406059265137,0.00017070770263671875,0.017806291580200195
93,47,10,5,3,2,2,30,60,1024,0.30455732345581055,0.00014543533325195312,0.061020851135253906
94,48,10,5,4,2,2,28,25,1,0.39922332763671875,0.00012636184692382812,0.00011491775512695312
95,48,10,5,3,2,2,30,30,1,0.4030330181121826,0.0001518726348876953,0.0003006458282470703
96,49,10,5,4,2,2,38,68,1024,0.34328436851501465,0.00016999244689941406,0.030649662017822266
97,49,10,5,3,2,2,40,80,1024,0.3624434471130371,0.00023651123046875,0.12543582916259766
98,50,10,5,4,2,2,48,129,59049,0.38042688369750977,0.0001430511474609375,1.3739309310913086
99,50,10,5,3,2,2,50,150,59049,0.5441312789916992,0.00016188621520996094,7.63932728767395
100,51,10,5,4,2,2,19,17,1,0.24900317192077637,0.00012993812561035156,8.559226989746094e-05
101,51,10,5,3,2,2,20,20,1,0.23697948455810547,0.00015020370483398438,0.0001323223114013672
102,52,10,5,4,2,2,19,17,1,0.24378609657287598,0.0001227855682373047,8.249282836914062e-05
