i_sample,n_local_networks,n_global_edges,v_topology,n_output_variables,n_clauses_function,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
7,7,6,2,2,2,1,3,0.12103145202854648,42.0,,
7,7,6,2,2,2,2,1,0.00040270498720929027,,126.0,
7,7,6,2,2,2,2,2,0.06803993700305,,126.0,
7,7,6,2,2,2,2,3,0.07252730999607593,,126.0,
7,7,6,2,2,2,3,1,0.08857138903113082,,,2187.0
7,7,6,2,2,2,3,2,0.41644429799634963,,,2187.0
7,7,6,2,2,2,3,3,0.4308677099761553,,,2187.0
7,7,7,2,2,2,1,1,0.33175384998321533,14.0,,
7,7,7,2,2,2,1,2,0.10261688998434693,14.0,,
7,7,7,2,2,2,1,3,0.09776487702038139,14.0,,
7,7,7,2,2,2,2,1,0.00030932697700336576,,14.0,
7,7,7,2,2,2,2,2,0.057259167020674795,,14.0,
7,7,7,2,2,2,2,3,0.07128609000938013,,14.0,
7,7,7,2,2,2,3,1,0.00010448199464008212,,,1.0
7,7,7,2,2,2,3,2,0.3025664080050774,,,1.0
7,7,7,2,2,2,3,3,0.3121815280173905,,,1.0
7,7,8,2,2,2,1,1,0.3760485879611224,23.0,,
7,7,8,2,2,2,1,2,0.15281964297173545,23.0,,
7,7,8,2,2,2,1,3,0.19537533301627263,23.0,,
7,7,8,2,2,2,2,1,0.00041178398532792926,,38.0,
7,7,8,2,2,2,2,2,0.08334369899239391,,38.0,
7,7,8,2,2,2,2,3,0.07041705504525453,,38.0,
7,7,8,2,2,2,3,1,0.0010410540271550417,,,16.0
7,7,8,2,2,2,3,2,0.3662452470161952,,,16.0
7,7,8,2,2,2,3,3,0.36307647795183584,,,16.0
7,7,9,2,2,2,1,1,0.41934019699692726,18.0,,
7,7,9,2,2,2,1,2,0.1427186380024068,18.0,,
7,7,9,2,2,2,1,3,0.1551313889794983,18.0,,
7,7,9,2,2,2,2,1,0.00028187897987663746,,28.0,
7,7,9,2,2,2,2,2,0.07019935903372243,,28.0,
7,7,9,2,2,2,2,3,0.07274947495898232,,28.0,
7,7,9,2,2,2,3,1,0.00021154899150133133,,,1.0
7,7,9,2,2,2,3,2,0.4055605109897442,,,1.0
7,7,9,2,2,2,3,3,0.40111588302534074,,,1.0
7,7,10,2,2,2,1,1,0.4439729380537756,20.0,,
7,7,10,2,2,2,1,2,0.15100984601303935,20.0,,
7,7,10,2,2,2,1,3,0.15889387897914276,20.0,,
7,7,10,2,2,2,2,1,0.0003303500125184655,,42.0,
7,7,10,2,2,2,2,2,0.06216405000304803,,42.0,
7,7,10,2,2,2,2,3,0.07020655303495005,,42.0,
7,7,10,2,2,2,3,1,0.00048316200263798237,,,1.0
7,7,10,2,2,2,3,2,0.4799122849944979,,,1.0
7,7,10,2,2,2,3,3,0.4589112200192176,,,1.0
7,7,11,2,2,2,1,1,0.4908490810194053,29.0,,
7,7,11,2,2,2,1,2,0.24303893698379397,29.0,,
7,7,11,2,2,2,1,3,0.1587933080154471,29.0,,
7,7,11,2,2,2,2,1,0.00032580900005996227,,84.0,
7,7,11,2,2,2,2,2,0.07329549401765689,,84.0,
7,7,11,2,2,2,2,3,0.07072610297473148,,84.0,
7,7,11,2,2,2,3,1,0.005780484003480524,,,5.0
7,7,11,2,2,2,3,2,0.5309552979888394,,,5.0
7,7,11,2,2,2,3,3,0.5306980719906278,,,5.0
8,7,6,2,2,2,1,1,0.5379984430037439,45.0,,
8,7,6,2,2,2,1,2,0.19961560796946287,45.0,,
8,7,6,2,2,2,1,3,0.20638986298581585,45.0,,
8,7,6,2,2,2,2,1,0.0003834280068986118,,153.0,
8,7,6,2,2,2,2,2,0.0602747030206956,,153.0,
8,7,6,2,2,2,2,3,0.07312822400126606,,153.0,
8,7,6,2,2,2,3,1,0.37516258197138086,,,2187.0
8,7,6,2,2,2,3,2,0.6502756389672868,,,2187.0
8,7,6,2,2,2,3,3,0.6463715819991194,,,2187.0
8,7,7,2,2,2,1,1,0.3168811490177177,17.0,,
8,7,7,2,2,2,1,2,0.13748270698124543,17.0,,
8,7,7,2,2,2,1,3,0.12938069901429117,17.0,,
8,7,7,2,2,2,2,1,0.00020400597713887691,,23.0,
8,7,7,2,2,2,2,2,0.07662028801860288,,23.0,
8,7,7,2,2,2,2,3,0.06994946801569313,,23.0,
8,7,7,2,2,2,3,1,0.0002537330146878958,,,3.0
8,7,7,2,2,2,3,2,0.3891378219705075,,,3.0
8,7,7,2,2,2,3,3,0.3364067460061051,,,3.0
8,7,8,2,2,2,1,1,0.46303262398578227,28.0,,
8,7,8,2,2,2,1,2,0.15928638697369024,28.0,,
8,7,8,2,2,2,1,3,0.15903223503846675,28.0,,
8,7,8,2,2,2,2,1,0.0004087819834239781,,56.0,
8,7,8,2,2,2,2,2,0.07347777998074889,,56.0,
8,7,8,2,2,2,2,3,0.07111805200111121,,56.0,
8,7,8,2,2,2,3,1,0.015475780994165689,,,128.0
8,7,8,2,2,2,3,2,0.38573732099030167,,,128.0
8,7,8,2,2,2,3,3,0.3822477709618397,,,128.0
8,7,9,2,2,2,1,1,0.5712624490261078,38.0,,
8,7,9,2,2,2,1,2,0.17694198398385197,38.0,,
8,7,9,2,2,2,1,3,0.17943475901847705,38.0,,
8,7,9,2,2,2,2,1,0.00040745397564023733,,188.0,
8,7,9,2,2,2,2,2,0.061385389999486506,,188.0,
8,7,9,2,2,2,2,3,0.07532899198122323,,188.0,
8,7,9,2,2,2,3,1,0.11204776802333072,,,128.0
8,7,9,2,2,2,3,2,0.5277725610067137,,,128.0
8,7,9,2,2,2,3,3,0.5263289419817738,,,128.0
8,7,10,2,2,2,1,1,0.36743080196902156,20.0,,
8,7,10,2,2,2,1,2,0.12390416400739923,20.0,,
8,7,10,2,2,2,1,3,0.11151306296233088,20.0,,
8,7,10,2,2,2,2,1,0.0002985019818879664,,48.0,
8,7,10,2,2,2,2,2,0.05830769403837621,,48.0,
8,7,10,2,2,2,2,3,0.060610919957980514,,48.0,
8,7,10,2,2,2,3,1,0.0007171299657784402,,,3.0
8,7,10,2,2,2,3,2,0.5078966389992274,,,3.0
8,7,10,2,2,2,3,3,0.4560917970375158,,,3.0
8,7,11,2,2,2,1,1,0.724810465995688,67.0,,
8,7,11,2,2,2,1,2,0.20850738103035837,67.0,,
8,7,11,2,2,2,1,3,0.229322528000921,67.0,,
8,7,11,2,2,2,2,1,0.0007894859882071614,,499.0,
8,7,11,2,2,2,2,2,0.06329177797306329,,499.0,
8,7,11,2,2,2,2,3,0.06964139797491953,,499.0,
8,7,11,2,2,2,3,1,14.986673793988302,,,978.0
8,7,11,2,2,2,3,2,12.873277880018577,,,978.0
8,7,11,2,2,2,3,3,12.299246642971411,,,978.0
9,7,6,2,2,2,1,1,0.31364169903099537,30.0,,
9,7,6,2,2,2,1,2,0.14425451698480174,30.0,,
9,7,6,2,2,2,1,3,0.1347148970235139,30.0,,
9,7,6,2,2,2,2,1,0.00026847003027796745,,34.0,
9,7,6,2,2,2,2,2,0.06540943495929241,,34.0,
9,7,6,2,2,2,2,3,0.06067943497328088,,34.0,
9,7,6,2,2,2,3,1,0.0007976570050232112,,,4.0
9,7,6,2,2,2,3,2,0.3138520619831979,,,4.0
9,7,6,2,2,2,3,3,0.31956368195824325,,,4.0
