,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
42,22,10,5,4,2,2,19,17,1,0.8160364627838135,0.0003409385681152,0.0001759529113769
43,22,10,5,3,2,2,20,20,1,0.8598904609680176,0.0005507469177246,0.0004222393035888
44,23,10,5,4,2,2,28,17,1,0.8654124736785889,0.0005686283111572,0.0002892017364501
45,23,10,5,3,2,2,30,20,1,1.1756935119628906,0.000439167022705,0.0003371238708496
46,24,10,5,4,2,2,38,68,1024,1.1160099506378174,0.0003700256347656,0.0422370433807373
47,24,10,5,3,2,2,40,80,1024,1.1518328189849854,0.0004379749298095,0.175450325012207
48,25,10,5,4,2,2,19,17,1,0.7912633419036865,0.0003178119659423,0.0001716613769531
49,25,10,5,3,2,2,20,20,1,0.9272739887237548,0.0003843307495117,0.0002834796905517
50,26,10,5,4,2,2,29,52,1024,0.9655799865722656,0.0007083415985107,0.0332956314086914
51,26,10,5,3,2,2,30,60,1024,1.0249342918395996,0.0004017353057861,0.1036698818206787
52,27,10,5,4,2,2,28,33,1,0.829477071762085,0.0003097057342529,0.0002257823944091
53,27,10,5,3,2,2,30,40,2,0.8293261528015137,0.0004611015319824,0.0020833015441894
54,28,10,5,4,2,2,19,17,1,0.799605131149292,0.0003457069396972,0.0001869201660156
55,28,10,5,3,2,2,20,20,1,0.9298107624053956,0.0005180835723876,0.000394582748413
56,29,10,5,4,2,2,19,17,1,0.7190227508544922,0.0003948211669921,0.0002222061157226
57,29,10,5,3,2,2,20,20,1,0.7193131446838379,0.0004451274871826,0.0003347396850585
58,30,10,5,4,2,2,38,68,1024,1.112006664276123,0.00044846534729,0.044029951095581
59,30,10,5,3,2,2,40,80,1024,1.0858466625213623,0.000483751296997,0.1808462142944336
60,31,10,5,4,2,2,19,8,0,0.9299261569976808,0.0004966259002685,0.0001418590545654
61,31,10,5,3,2,2,20,10,0,0.9584589004516602,0.0003437995910644,9.489059448242188e-05
62,32,10,5,4,2,2,29,26,2,0.9611697196960448,0.0004191398620605,0.0003614425659179
63,32,10,5,3,2,2,30,30,1,0.94374680519104,0.0005075931549072,0.0006871223449707
64,33,10,5,4,2,2,67,240,1048576,1.581831932067871,0.0003468990325927,50.79345607757568
