i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
5,6,5,2,2,2,12,24,72,1,1.7342491149902344,0.0004291534423828125,0.004871368408203125
6,3,5,2,2,2,3,9,18,8,0.4756455421447754,0.00016689300537109375,0.0004754066467285156
6,3,5,2,2,2,4,13,52,8,0.7284054756164551,0.00017070770263671875,0.0026955604553222656
6,3,5,2,2,2,5,17,94,8,0.9101161956787109,0.0002598762512207031,0.008074283599853516
6,3,5,2,2,2,6,21,168,8,1.173140287399292,0.0002639293670654297,0.02179241180419922
6,4,5,2,2,2,4,12,24,16,0.6178696155548096,0.00019097328186035156,0.0012233257293701172
6,4,5,2,2,2,5,16,50,16,0.8368752002716064,0.00018334388732910156,0.002184152603149414
6,4,5,2,2,2,6,20,100,16,1.1103460788726807,0.00021791458129882812,0.013676166534423828
6,4,5,2,2,2,7,24,150,16,1.2849855422973633,0.0002841949462890625,0.024610519409179688
6,4,5,2,2,2,8,28,224,16,1.5607266426086426,0.00037932395935058594,0.06945657730102539
6,5,5,2,2,2,5,18,38,32,0.9908056259155273,0.00025582313537597656,0.005448102951049805
6,5,5,2,2,2,6,22,72,32,1.214045524597168,0.0002269744873046875,0.017815351486206055
6,5,5,2,2,2,7,26,136,32,1.4362339973449707,0.000274658203125,0.04505181312561035
6,5,5,2,2,2,8,30,184,32,1.6211977005004883,0.00037860870361328125,0.13152194023132324
6,5,5,2,2,2,9,31,206,32,1.714853286743164,0.00038170814514160156,0.1942119598388672
6,5,5,2,2,2,10,35,280,32,1.937422513961792,0.0003666877746582031,0.5249040126800537
6,6,5,2,2,2,6,21,42,64,1.1176342964172363,0.00027751922607421875,0.011571884155273438
6,6,5,2,2,2,7,25,82,64,1.3941645622253418,0.0002548694610595703,0.03352999687194824
6,6,5,2,2,2,8,26,104,64,1.3906795978546143,0.00039005279541015625,0.06338047981262207
6,6,5,2,2,2,9,30,170,64,1.6561334133148193,0.00042700767517089844,0.21399760246276855
6,6,5,2,2,2,10,34,204,64,1.8195815086364746,0.0004425048828125,0.4387197494506836
6,6,5,2,2,2,11,38,246,64,2.099104642868042,0.0003921985626220703,0.8978524208068848
6,6,5,2,2,2,12,42,336,64,2.3406732082366943,0.00046324729919433594,2.2321951389312744
7,3,5,2,2,2,3,17,15,3,0.8293321132659912,0.0001666545867919922,0.0005598068237304688
7,3,5,2,2,2,4,23,48,1,1.217536449432373,0.0001590251922607422,0.002241373062133789
7,3,5,2,2,2,5,24,57,1,1.2752704620361328,0.0001838207244873047,0.0026967525482177734
7,3,5,2,2,2,6,30,108,1,1.5919160842895508,0.00021386146545410156,0.009984016418457031
7,4,5,2,2,2,4,21,18,3,1.0741734504699707,0.0001971721649169922,0.0008370876312255859
7,4,5,2,2,2,5,27,45,1,1.402456283569336,0.00023937225341796875,0.002878427505493164
7,4,5,2,2,2,6,28,54,1,1.4607408046722412,0.00026917457580566406,0.003204822540283203
7,4,5,2,2,2,7,34,81,1,1.795095682144165,0.000244140625,0.021231651306152344
7,4,5,2,2,2,8,40,144,1,2.1771979331970215,0.0002853870391845703,0.061876773834228516
7,5,5,2,2,2,5,25,21,9,1.2648706436157227,0.00023031234741210938,0.0022110939025878906
7,5,5,2,2,2,6,31,42,3,1.607421875,0.0002086162567138672,0.005291461944580078
