,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
33,17,10,5,3,2,2,60,240,1048576,0.8536312580108643,0.0003075599670410156,267.57436418533325
34,18,10,5,4,2,2,30,54,1536,0.7844223976135254,0.0003254413604736328,0.04494023323059082
35,18,10,5,3,2,2,30,60,1024,0.7708466053009033,0.0003886222839355469,0.09547305107116699
36,19,10,5,4,2,2,19,17,1,0.6485068798065186,0.0003707408905029297,0.00026726722717285156
37,19,10,5,3,2,2,20,20,1,0.6560952663421631,0.0003414154052734375,0.0002472400665283203
38,20,10,5,4,2,2,29,52,1024,0.812605619430542,0.00033545494079589844,0.02544569969177246
39,20,10,5,3,2,2,30,60,1024,0.8353631496429443,0.00033092498779296875,0.10036253929138184
40,21,10,5,4,2,2,19,17,1,0.5750277042388916,0.00032591819763183594,0.0001697540283203125
41,21,10,5,3,2,2,20,20,1,0.5721540451049805,0.0003211498260498047,0.0002522468566894531
42,22,10,5,4,2,2,28,50,512,0.6475369930267334,0.0004642009735107422,0.0162656307220459
43,22,10,5,3,2,2,30,60,1024,0.7073369026184082,0.00040984153747558594,0.09136795997619629
44,23,10,5,4,2,2,59,44,4,1.1510539054870605,0.00030493736267089844,0.0006582736968994141
45,23,10,5,3,2,2,60,50,1,1.0931859016418457,0.000453948974609375,0.0013175010681152344
46,24,10,5,4,2,2,28,50,512,0.7924609184265137,0.0002989768981933594,0.013918399810791016
47,24,10,5,3,2,2,30,60,1024,0.8104729652404785,0.00037932395935058594,0.09309649467468262
48,25,10,5,4,2,2,19,17,1,0.5759975910186768,0.0003368854522705078,0.00017833709716796875
49,25,10,5,3,2,2,20,20,1,0.5961370468139648,0.00033855438232421875,0.0002524852752685547
50,26,10,5,4,2,2,38,102,39366,2.0393483638763428,0.00035452842712402344,1.1082119941711426
51,26,10,5,3,2,2,40,120,59049,0.9646084308624268,0.0003495216369628906,8.309971809387207
52,27,10,5,4,2,2,19,17,1,0.6454827785491943,0.00036787986755371094,0.0001876354217529297
53,27,10,5,3,2,2,20,20,1,0.664682149887085,0.0003361701965332031,0.0003154277801513672
54,28,10,5,4,2,2,19,17,1,0.6723079681396484,0.0003402233123779297,0.00017833709716796875
55,28,10,5,3,2,2,20,20,1,0.6848783493041992,0.00035309791564941406,0.0002739429473876953
56,29,10,5,4,2,2,19,17,1,0.6695165634155273,0.00036334991455078125,0.0001976490020751953
57,29,10,5,3,2,2,20,20,1,0.6740648746490479,0.00030803680419921875,0.0002315044403076172
58,30,10,5,4,2,2,39,35,3,0.9266989231109619,0.00025963783264160156,0.0003821849822998047
59,30,10,5,3,2,2,40,40,1,0.9361629486083984,0.0004241466522216797,0.0007662773132324219
60,31,10,5,4,2,2,28,32,0,0.784674882888794,0.0002963542938232422,7.224082946777344e-05
61,31,10,5,3,2,2,30,40,1024,0.7814855575561523,0.00035834312438964844,0.039446353912353516
62,32,10,5,4,2,2,19,17,1,0.6942532062530518,0.00028204917907714844,0.00014829635620117188
63,32,10,5,3,2,2,20,20,1,0.7457935810089111,0.0002853870391845703,0.0002181529998779297
64,33,10,5,4,2,2,19,17,1,0.6950130462646484,0.00038552284240722656,0.00019431114196777344
65,33,10,5,3,2,2,20,20,1,0.6243760585784912,0.00026607513427734375,0.00020194053649902344
66,34,10,5,4,2,2,30,34,2,0.8665082454681396,0.0003020763397216797,0.00037980079650878906
67,34,10,5,3,2,2,30,40,1,0.8105869293212891,0.0003724098205566406,0.0007169246673583984
68,35,10,5,4,2,2,58,190,363314,1.1382510662078857,0.00030875205993652344,18.223161458969116
69,35,10,5,3,2,2,60,220,328393,1.1689283847808838,0.0003285408020019531,101.51239323616028
70,36,10,5,4,2,2,48,129,59049,1.0255296230316162,0.0003750324249267578,2.526528835296631
71,36,10,5,3,2,2,50,150,59049,1.0841171741485596,0.00048613548278808594,14.815818309783936
72,37,10,5,4,2,2,29,25,1,0.8295164108276367,0.0003349781036376953,0.00021314620971679688
73,37,10,5,3,2,2,30,30,1,0.8965699672698975,0.0006780624389648438,0.0009543895721435547
74,38,10,5,4,2,2,29,17,1,0.8679959774017334,0.00033164024353027344,0.00017786026000976562
75,38,10,5,3,2,2,30,20,1,0.98708176612854,0.00040435791015625,0.0003120899200439453
76,39,10,5,4,2,2,19,8,0,0.8853826522827148,0.00028204917907714844,6.842613220214844e-05
77,39,10,5,3,2,2,20,10,0,0.9524407386779785,0.00030517578125,8.177757263183594e-05
78,40,10,5,4,2,2,28,25,1,0.8840968608856201,0.000476837158203125,0.0002684593200683594
79,40,10,5,3,2,2,30,30,1,0.8610091209411621,0.0003743171691894531,0.0004870891571044922
80,41,10,5,4,2,2,19,17,1,0.723747730255127,0.0003962516784667969,0.00022411346435546875
81,41,10,5,3,2,2,20,20,1,0.783393383026123,0.0004253387451171875,0.00035309791564941406
82,42,10,5,4,2,2,19,17,1,0.7142562866210938,0.0003094673156738281,0.0001785755157470703
83,42,10,5,3,2,2,20,20,1,0.767371416091919,0.00034737586975097656,0.0002741813659667969
84,43,10,5,4,2,2,20,18,2,0.7045097351074219,0.00032806396484375,0.0002474784851074219
85,43,10,5,3,2,2,20,20,1,0.7718455791473389,0.00032401084899902344,0.00026488304138183594
86,44,10,5,4,2,2,29,26,2,0.9151418209075928,0.00031304359436035156,0.00029850006103515625
87,44,10,5,3,2,2,30,30,1,0.9663374423980713,0.0003662109375,0.0004265308380126953
88,45,10,5,4,2,2,29,52,1024,0.7016215324401855,0.000335693359375,0.03804659843444824
89,45,10,5,3,2,2,30,60,1024,0.7154140472412109,0.0004172325134277344,0.13091635704040527
90,46,10,5,4,2,2,38,68,1024,0.9687900543212891,0.0003886222839355469,0.04506802558898926
91,46,10,5,3,2,2,40,80,1024,1.0321400165557861,0.00037550926208496094,0.21070408821105957
92,47,10,5,4,2,2,19,17,1,0.7150797843933105,0.0004353523254394531,0.0002281665802001953
93,47,10,5,3,2,2,20,20,1,0.7142999172210693,0.0003719329833984375,0.0002760887145996094
94,48,10,5,4,2,2,38,68,1024,0.886340856552124,0.00033926963806152344,0.04225730895996094
95,48,10,5,3,2,2,40,80,1024,0.9977872371673584,0.0005524158477783203,0.23511648178100586
96,49,10,5,4,2,2,19,17,1,0.7634835243225098,0.0003376007080078125,0.0001823902130126953
97,49,10,5,3,2,2,20,20,1,0.7459671497344971,0.0004227161407470703,0.0003333091735839844
98,50,10,5,4,2,2,48,86,1536,1.394366979598999,0.0002875328063964844,0.08854126930236816
99,50,10,5,3,2,2,50,100,1024,1.545729637145996,0.0003609657287597656,0.3318765163421631
100,51,10,5,4,2,2,28,33,1,0.7092995643615723,0.0003464221954345703,0.00030922889709472656
101,51,10,5,3,2,2,30,40,2,0.7247681617736816,0.0005946159362792969,0.0019865036010742188
102,52,10,5,4,2,2,19,17,1,0.6209542751312256,0.0003998279571533203,0.00023674964904785156
103,52,10,5,3,2,2,20,20,1,0.6913211345672607,0.0004096031188964844,0.0002827644348144531
104,53,10,5,4,2,2,19,17,1,0.6862959861755371,0.00032258033752441406,0.00021314620971679688
105,53,10,5,3,2,2,20,20,1,0.7361087799072266,0.0003476142883300781,0.00027298927307128906
106,54,10,5,4,2,2,38,68,1024,0.9905378818511963,0.0004703998565673828,0.05286860466003418
107,54,10,5,3,2,2,40,80,1024,1.0146188735961914,0.0003821849822998047,0.1931896209716797
108,55,10,5,4,2,2,56,116,1024,1.19746994972229,0.0002713203430175781,0.0666189193725586
109,55,10,5,3,2,2,60,140,1025,1.3691565990447998,0.0004067420959472656,0.8047454357147217
