i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
12,7,5,2,2,2,7,16,11,2,0.6667664051055908,0.0003600120544433594,0.00021576881408691406
12,7,5,2,2,2,8,18,16,2,0.7223479747772217,0.00039458274841308594,0.0002548694610595703
12,7,5,2,2,2,9,18,13,1,0.7796874046325684,0.00041484832763671875,0.00022864341735839844
12,7,5,2,2,2,10,20,26,1,0.8615832328796387,0.0003654956817626953,0.0003943443298339844
12,8,5,2,2,2,8,18,11,2,0.7170572280883789,0.00032067298889160156,0.00017023086547851562
12,8,5,2,2,2,9,18,11,1,0.7460570335388184,0.00031256675720214844,0.00015354156494140625
12,8,5,2,2,2,10,20,16,1,0.8403711318969727,0.0004684925079345703,0.00031495094299316406
12,8,5,2,2,2,11,22,33,1,0.9210584163665771,0.0004630088806152344,0.0007534027099609375
12,8,5,2,2,2,12,24,46,1,0.996645450592041,0.0006213188171386719,0.001817464828491211
13,7,5,2,2,2,7,24,34,8,0.9083082675933838,0.0002803802490234375,0.002895832061767578
13,7,5,2,2,2,8,28,46,8,1.0147342681884766,0.00036978721618652344,0.004626274108886719
13,7,5,2,2,2,9,32,74,8,1.1699728965759277,0.00036597251892089844,0.015840768814086914
13,7,5,2,2,2,10,36,124,4,1.307119607925415,0.00038242340087890625,0.031327247619628906
13,8,5,2,2,2,8,27,36,8,1.021388292312622,0.0004715919494628906,0.0022280216217041016
13,8,5,2,2,2,9,31,46,8,1.1614155769348145,0.0003390312194824219,0.002048492431640625
13,8,5,2,2,2,10,35,66,4,1.2987785339355469,0.00036787986755371094,0.006081342697143555
13,8,5,2,2,2,11,39,78,4,1.4359567165374756,0.0005273818969726562,0.016530990600585938
13,8,5,2,2,2,12,43,106,4,1.5193090438842773,0.0004508495330810547,0.028018712997436523
14,7,5,2,2,2,7,42,168,16384,1.079942226409912,0.00040841102600097656,1.2017009258270264
14,7,5,2,2,2,8,50,240,16384,1.2530701160430908,0.0003647804260253906,6.336901664733887
14,7,5,2,2,2,9,58,376,16384,1.4272551536560059,0.0006763935089111328,18.74178409576416
14,7,5,2,2,2,10,66,640,16384,1.6075465679168701,0.0006082057952880859,57.04932475090027
14,8,5,2,2,2,8,56,240,98304,1.4682064056396484,0.0004706382751464844,15.161696434020996
14,8,5,2,2,2,9,64,344,98304,1.5721149444580078,0.0006983280181884766,47.01373291015625
14,8,5,2,2,2,10,72,416,98304,1.812643051147461,0.0006945133209228516,24.066532611846924
14,8,5,2,2,2,11,80,552,98304,2.022165536880493,0.0008318424224853516,77.694659948349
14,8,5,2,2,2,12,88,816,98304,2.188204765319824,0.0007035732269287109,186.58071374893188
15,7,5,2,2,2,7,39,90,1396,1.0125696659088135,0.0005099773406982422,0.32270145416259766
