i_sample,n_cores,step,method,execution_time
3,2,2,3,2.238723413000116
3,4,1,1,89.8269602800001
3,4,1,2,21.94556171999966
3,4,1,3,21.581545098999868
3,4,2,1,1.1957249449997107
3,4,2,2,5.048143262999929
3,4,2,3,5.0499006679997365
3,8,1,1,88.83666581099988
3,8,1,2,12.289158725999641
3,8,1,3,11.849151893999988
3,8,2,1,1.004373742000098
3,8,2,2,8.157396638000137
3,8,2,3,8.476877525999953
3,12,1,1,64.79976275599984
3,12,1,2,6.395358626000416
3,12,1,3,7.257607345999531
3,12,2,1,0.950433535999764
3,12,2,2,7.103508814000634
3,12,2,3,7.283676086000014
3,16,1,1,67.52822871999979
3,16,1,2,6.0435841009993965
3,16,1,3,7.201696271000401
3,16,2,1,0.9899420009996902
3,16,2,2,10.915340329999708
3,16,2,3,13.303812393000044
3,20,1,1,77.48203271200055
3,20,1,2,7.225568791000114
3,20,1,3,6.013577028000327
3,20,2,1,0.981353610000042
3,20,2,2,20.016033443000197
3,20,2,3,19.829945213999963
3,24,1,1,90.62014560700027
3,24,1,2,8.127647115999935
3,24,1,3,8.772585816999708
3,24,2,1,0.9784070450004947
3,24,2,2,15.481784153000262
3,24,2,3,15.374840492999283
4,2,1,1,64.47406730799958
4,2,1,2,32.068956450999394
4,2,1,3,32.68352708600014
4,2,2,1,1.31885637600044
4,2,2,2,2.4176200649999373
4,2,2,3,2.541984602999946
4,4,1,1,79.9156155870005
4,4,1,2,19.948945832999925
4,4,1,3,20.90182178499981
4,4,2,1,1.2379328589995566
4,4,2,2,5.045019184000012
4,4,2,3,5.176038765000158
4,8,1,1,61.5201726690002
4,8,1,2,8.589290680999511
4,8,1,3,8.518947514000502
4,8,2,1,0.9996161839999331
4,8,2,2,6.154204804000074
4,8,2,3,6.2339016610003455
4,12,1,1,77.28002930499952
4,12,1,2,8.312529690999327
4,12,1,3,8.677058803999898
4,12,2,1,0.972714962000282
4,12,2,2,7.60558174200014
4,12,2,3,7.655379367999558
4,16,1,1,76.36947223199968
4,16,1,2,6.675214013000186
4,16,1,3,7.321029992999684
4,16,2,1,0.9828308370006198
4,16,2,2,10.160348562000763
4,16,2,3,10.263184723999984
4,20,1,1,111.9339389479992
4,20,1,2,10.443072459000177
4,20,1,3,10.722501571000066
4,20,2,1,1.0037702899999204
4,20,2,2,13.846283266000682
4,20,2,3,17.339412516000266
4,24,1,1,80.69898751600067
4,24,1,2,6.863662330999432
4,24,1,3,8.532891574999667
4,24,2,1,0.9874443509997946
4,24,2,2,25.17286591300035
4,24,2,3,24.914935619999596
5,2,1,1,83.24536663199979
5,2,1,2,42.93098722800005
5,2,1,3,42.71949647999918
5,2,2,1,1.2780489180004224
5,2,2,2,3.158107581999502
5,2,2,3,3.0549322650003887
5,4,1,1,114.51086346800003
5,4,1,2,27.977340905000347
5,4,1,3,28.50600152000061
5,4,2,1,1.232849267000347
5,4,2,2,5.4451621799998975
5,4,2,3,5.8128950609998356
5,8,1,1,93.53330149199974
5,8,1,2,13.023389401000713
5,8,1,3,13.393316245999813
5,8,2,1,1.2625621309998678
5,8,2,2,7.37289531299939
5,8,2,3,6.950585294999655
5,12,1,1,68.13741084100002
5,12,1,2,7.356110362999971
5,12,1,3,8.756770906999918
5,12,2,1,0.9851216100005331
5,12,2,2,9.371830227999453
5,12,2,3,9.771698291000575
5,16,1,1,59.1403703320002
5,16,1,2,6.1140784299996085
5,16,1,3,6.099346291999609
5,16,2,1,0.9908657449996099
5,16,2,2,9.894710776000466
5,16,2,3,10.187395447000199
5,20,1,1,87.05244551500073
5,20,1,2,7.31103665199953
5,20,1,3,8.036542427000313
5,20,2,1,1.296026678999624
5,20,2,2,19.266731425000216
5,20,2,3,19.905924564999623
5,24,1,1,62.68590072799998
5,24,1,2,7.232980108000447
5,24,1,3,6.396708074999879
5,24,2,1,0.9655618690003394
5,24,2,2,13.830929230000038
5,24,2,3,14.356632394000371
6,2,1,1,58.21681671599981
6,2,1,2,29.377997774000505
6,2,1,3,29.720211161000407
6,2,2,1,1.1746387899993351
6,2,2,2,2.1043540640002902
6,2,2,3,2.0784520650004197
6,4,1,1,73.17475250200005
6,4,1,2,17.40614323400041
6,4,1,3,17.4513738379992
6,4,2,1,1.1989779440000348
6,4,2,2,4.956220655999459
6,4,2,3,5.022977864000495
6,8,1,1,65.07945796399963
6,8,1,2,9.034535230000074
6,8,1,3,9.312748825999734
6,8,2,1,0.9655850129993269
6,8,2,2,4.922927962999893
6,8,2,3,4.922514946999399
6,12,1,1,82.33201675100008
6,12,1,2,10.06400042399946
6,12,1,3,8.47139567100021
6,12,2,1,1.048215546999927
6,12,2,2,11.702911977999975
6,12,2,3,11.665467383999385
6,16,1,1,77.49653957800001
6,16,1,2,8.25178752300053
6,16,1,3,7.038153784000315
6,16,2,1,0.965052363999348
