i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
3,4,5,2,2,2,4,2,1,0.0001008919789455831,,0.0,
3,4,5,2,2,2,4,2,2,0.10399672703351825,,0.0,
3,4,5,2,2,2,4,2,3,0.09155441995244473,,0.0,
3,4,5,2,2,2,4,3,1,8.200801676139235e-05,,,0.0
3,4,5,2,2,2,4,3,2,0.09228847397025675,,,0.0
3,4,5,2,2,2,4,3,3,0.00012470298679545522,,,0.0
3,5,5,2,2,2,5,1,1,0.6694496460258961,55.0,,
3,5,5,2,2,2,5,1,2,0.22896605398273095,55.0,,
3,5,5,2,2,2,5,1,3,0.23345839604735374,55.0,,
3,5,5,2,2,2,5,2,1,0.00010910298442468047,,0.0,
3,5,5,2,2,2,5,2,2,0.0931377949891612,,0.0,
3,5,5,2,2,2,5,2,3,0.09229125099955127,,0.0,
3,5,5,2,2,2,5,3,1,7.245002780109644e-05,,,0.0
3,5,5,2,2,2,5,3,2,0.08702068502316251,,,0.0
3,5,5,2,2,2,5,3,3,0.00012654298916459084,,,0.0
3,6,5,2,2,2,6,1,1,0.8871304800268263,76.0,,
3,6,5,2,2,2,6,1,2,0.405851909017656,76.0,,
3,6,5,2,2,2,6,1,3,0.5270918000023812,76.0,,
3,6,5,2,2,2,6,2,1,0.00014005601406097412,,0.0,
3,6,5,2,2,2,6,2,2,0.10146620497107506,,0.0,
3,6,5,2,2,2,6,2,3,0.14830670499941334,,0.0,
3,6,5,2,2,2,6,3,1,0.0001231339992955327,,,0.0
3,6,5,2,2,2,6,3,2,0.10534744401229545,,,0.0
3,6,5,2,2,2,6,3,3,0.00012681400403380394,,,0.0
3,7,5,2,2,2,7,1,1,1.136590180976782,97.0,,
3,7,5,2,2,2,7,1,2,0.433335862995591,97.0,,
3,7,5,2,2,2,7,1,3,0.40921400202205405,97.0,,
3,7,5,2,2,2,7,2,1,0.00017419102368876338,,0.0,
3,7,5,2,2,2,7,2,2,0.11384952801745385,,0.0,
3,7,5,2,2,2,7,2,3,0.09494050103239715,,0.0,
3,7,5,2,2,2,7,3,1,7.561896927654743e-05,,,0.0
3,7,5,2,2,2,7,3,2,0.09112835000269115,,,0.0
3,7,5,2,2,2,7,3,3,0.00012982700718566775,,,0.0
3,8,5,2,2,2,8,1,1,1.311746293969918,108.0,,
3,8,5,2,2,2,8,1,2,0.41184304299531505,108.0,,
3,8,5,2,2,2,8,1,3,0.42191476200241596,108.0,,
3,8,5,2,2,2,8,2,1,0.00017318903701379895,,0.0,
3,8,5,2,2,2,8,2,2,0.10593379999045283,,0.0,
3,8,5,2,2,2,8,2,3,0.10463781701400876,,0.0,
3,8,5,2,2,2,8,3,1,8.34250240586698e-05,,,0.0
3,8,5,2,2,2,8,3,2,0.08961425098823383,,,0.0
3,8,5,2,2,2,8,3,3,0.00012675998732447624,,,0.0
3,9,5,2,2,2,9,1,1,1.442942822992336,109.0,,
3,9,5,2,2,2,9,1,2,0.4293303900049068,109.0,,
3,9,5,2,2,2,9,1,3,0.512285336968489,109.0,,
3,9,5,2,2,2,9,2,1,0.00020128203323110938,,0.0,
3,9,5,2,2,2,9,2,2,0.10429396101972088,,0.0,
3,9,5,2,2,2,9,2,3,0.1034897220088169,,0.0,
3,9,5,2,2,2,9,3,1,8.073303615674376e-05,,,0.0
3,9,5,2,2,2,9,3,2,0.08838827395811677,,,0.0
3,9,5,2,2,2,9,3,3,0.00015433999942615628,,,0.0
3,10,5,2,2,2,10,1,1,1.7674352019676007,134.0,,
3,10,5,2,2,2,10,1,2,0.4200301949749701,134.0,,
3,10,5,2,2,2,10,1,3,0.6195954069844447,134.0,,
3,10,5,2,2,2,10,2,1,0.0002040310064330697,,0.0,
3,10,5,2,2,2,10,2,2,0.10396499297348782,,0.0,
3,10,5,2,2,2,10,2,3,0.10059832799015567,,0.0,
3,10,5,2,2,2,10,3,1,7.776799611747265e-05,,,0.0
3,10,5,2,2,2,10,3,2,0.08957736101001501,,,0.0
3,10,5,2,2,2,10,3,3,0.0001298289862461388,,,0.0
4,3,5,2,2,2,3,1,1,0.23928194300970063,18.0,,
4,3,5,2,2,2,3,1,2,0.1871893450152129,18.0,,
4,3,5,2,2,2,3,1,3,0.18566403101431206,18.0,,
4,3,5,2,2,2,3,2,1,8.978502592071891e-05,,0.0,
4,3,5,2,2,2,3,2,2,0.09568307199515402,,0.0,
4,3,5,2,2,2,3,2,3,0.08877674397081137,,0.0,
4,3,5,2,2,2,3,3,1,6.864703027531505e-05,,,0.0
4,3,5,2,2,2,3,3,2,0.08751697099069133,,,0.0
4,3,5,2,2,2,3,3,3,0.00012950599193572998,,,0.0
4,4,5,2,2,2,4,1,1,0.4235268670017831,30.0,,
4,4,5,2,2,2,4,1,2,0.2712917870376259,30.0,,
4,4,5,2,2,2,4,1,3,0.27120002399897203,30.0,,
4,4,5,2,2,2,4,2,1,0.00010683800792321563,,0.0,
4,4,5,2,2,2,4,2,2,0.09410914400359616,,0.0,
4,4,5,2,2,2,4,2,3,0.0961908350000158,,0.0,
4,4,5,2,2,2,4,3,1,7.448403630405664e-05,,,0.0
4,4,5,2,2,2,4,3,2,0.08894079801393673,,,0.0
4,4,5,2,2,2,4,3,3,0.00014742801431566477,,,0.0
4,5,5,2,2,2,5,1,1,0.6429694140097126,42.0,,
4,5,5,2,2,2,5,1,2,0.27982442401116714,42.0,,
4,5,5,2,2,2,5,1,3,0.2822358339908533,42.0,,
4,5,5,2,2,2,5,2,1,0.00015593197895213962,,0.0,
4,5,5,2,2,2,5,2,2,0.10818868002388626,,0.0,
4,5,5,2,2,2,5,2,3,0.09500461997231469,,0.0,
4,5,5,2,2,2,5,3,1,0.0001215239753946662,,,0.0
4,5,5,2,2,2,5,3,2,0.10204299498582259,,,0.0
4,5,5,2,2,2,5,3,3,0.00015236198669299483,,,0.0
4,6,5,2,2,2,6,1,1,0.7580181060475297,48.0,,
4,6,5,2,2,2,6,1,2,0.280025452026166,48.0,,
4,6,5,2,2,2,6,1,3,0.2980816880008206,48.0,,
4,6,5,2,2,2,6,2,1,0.00013889302499592304,,0.0,
4,6,5,2,2,2,6,2,2,0.10455508797895163,,0.0,
4,6,5,2,2,2,6,2,3,0.09431052894797176,,0.0,
4,6,5,2,2,2,6,3,1,7.895502494648099e-05,,,0.0
4,6,5,2,2,2,6,3,2,0.08860945201013237,,,0.0
4,6,5,2,2,2,6,3,3,0.00014057703083381057,,,0.0
4,7,5,2,2,2,7,1,1,0.8339765550335869,60.0,,
4,7,5,2,2,2,7,1,2,0.28481078101322055,60.0,,
4,7,5,2,2,2,7,1,3,0.28298421105137095,60.0,,
4,7,5,2,2,2,7,2,1,0.00015776604413986206,,0.0,
4,7,5,2,2,2,7,2,2,0.09695283195469528,,0.0,
4,7,5,2,2,2,7,2,3,0.09823067596880719,,0.0,
4,7,5,2,2,2,7,3,1,8.266599616035819e-05,,,0.0
4,7,5,2,2,2,7,3,2,0.08832646801602095,,,0.0
4,7,5,2,2,2,7,3,3,0.0001461090287193656,,,0.0
4,8,5,2,2,2,8,1,1,0.9972779829986393,69.0,,
4,8,5,2,2,2,8,1,2,0.2749181480030529,69.0,,
4,8,5,2,2,2,8,1,3,0.2756534279906191,69.0,,
4,8,5,2,2,2,8,2,1,0.00019577197963371873,,0.0,
4,8,5,2,2,2,8,2,2,0.10223752399906516,,0.0,
4,8,5,2,2,2,8,2,3,0.09891327796503901,,0.0,
4,8,5,2,2,2,8,3,1,8.483004057779908e-05,,,0.0
4,8,5,2,2,2,8,3,2,0.09430365200387314,,,0.0
4,8,5,2,2,2,8,3,3,0.00013315200340002775,,,0.0
4,9,5,2,2,2,9,1,1,1.2525037869927473,75.0,,
4,9,5,2,2,2,9,1,2,0.28687875298783183,75.0,,
4,9,5,2,2,2,9,1,3,0.27676370897097513,75.0,,
4,9,5,2,2,2,9,2,1,0.00017686700448393822,,0.0,
4,9,5,2,2,2,9,2,2,0.10742334101814777,,0.0,
4,9,5,2,2,2,9,2,3,0.10047165903961286,,0.0,
4,9,5,2,2,2,9,3,1,8.210103260353208e-05,,,0.0
4,9,5,2,2,2,9,3,2,0.0915902010165155,,,0.0
4,9,5,2,2,2,9,3,3,0.0001310490188188851,,,0.0
4,10,5,2,2,2,10,1,1,1.2222121380036697,81.0,,
4,10,5,2,2,2,10,1,2,0.289606868987903,81.0,,
4,10,5,2,2,2,10,1,3,0.27411812398349866,81.0,,
4,10,5,2,2,2,10,2,1,0.00021473004017025232,,0.0,
4,10,5,2,2,2,10,2,2,0.10449651698581874,,0.0,
4,10,5,2,2,2,10,2,3,0.09924929804401472,,0.0,
4,10,5,2,2,2,10,3,1,9.08689689822495e-05,,,0.0
4,10,5,2,2,2,10,3,2,0.08569561399053782,,,0.0
4,10,5,2,2,2,10,3,3,0.00013584201224148273,,,0.0
5,3,5,2,2,2,3,1,1,0.22942366998177022,12.0,,
